timestamp_iso,session_id,event,mode,mapId,success,details,x,y,z,tap_id,anchor_id,screen_x,screen_y,latency_ms,hit_type,trackable_type,trackable_id,earth_state,earth_tracking,earth_hacc_m,earth_vacc_m,earth_headacc_deg
2026-03-10T13:34:15.3530980+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:34:17.3599620+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:34:19.3537330+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:34:19.3797140+05:30,3cb76df116064a7280f2aa87610a8eca,IndoorLocalizationResult,Contributor,cdis_lab,success,MultiSet callback,,,,,,,,,,,,,,,,
2026-03-10T13:34:21.3601160+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=1.176;drift_map_m=0.000,-5.681758,0.200841,11.431430,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:34:27.2070260+05:30,3cb76df116064a7280f2aa87610a8eca,TapRejected,Indoor,cdis_lab,failure,InfoUIOpen,,,,3b95e7ddad7f479b9582df13deaead5d,,852.00,1090.00,,,,,,,,,
2026-03-10T13:34:33.7429720+05:30,3cb76df116064a7280f2aa87610a8eca,TapAttempt,Indoor,cdis_lab,,UserTap,,,,a5249349322d43f3a52b74a437a35dc6,,185.00,2138.00,,,,,,,,,
2026-03-10T13:34:33.7441460+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorPlaced,Indoor,cdis_lab,success,PhysicsMesh,-5.135257,-0.002442,-9.083794,a5249349322d43f3a52b74a437a35dc6,e87939cd6d1c4c3d8e7a7868b155830c,185.00,2138.00,1.1,PhysicsMesh,PhysicsMesh,,,,,,
2026-03-10T13:34:35.1371900+05:30,3cb76df116064a7280f2aa87610a8eca,TapRejected,Indoor,cdis_lab,failure,InfoUIOpen,,,,07f21c4ad30948e1a52fc94e69d2c156,,246.00,2145.00,,,,,,,,,
2026-03-10T13:34:35.4168060+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-7.192838,0.205925,9.526611,,e87939cd6d1c4c3d8e7a7868b155830c,,,,,,,,,,,
2026-03-10T13:34:37.4484310+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-7.192838,0.205925,9.526611,,e87939cd6d1c4c3d8e7a7868b155830c,,,,,,,,,,,
2026-03-10T13:34:38.4485990+05:30,3cb76df116064a7280f2aa87610a8eca,EnterIndoorMode,Explorer,,,OpenMapList,,,,,,,,,,,,,,,,
